Numéro du puits,Nom du puits,Année forage,Région géologique,Lot,Rang,Canton,Paroisse,Localisation,Latitude (NAD83),Latitude (décimal),Longitude (NAD83),Longitude (décimal),No carte,No permis,Profondeur,Profondeur (en m),Elévation sol,Élévation (en m),Élévation table rotation,Élévation de la table de rotation (en m),Dernière activité de puits,Dernière phase de puits,Statut puits,État du puits,Contenu du puits,Type puits,Détenteur,Partenaires,Opérateur,Implanté sur,Entreprise forage,Type foreuse,Log composite,Confidentiel jusqu'au,Municipalité,Région administrative,Localité
B026,"Bald Mountain New-Miller No 3, Sorel",1961,B-Basses-Terres (sols non consolidés),Avant des lots 3-76,,,,Comté de Richelieu,"46° 02' 57,1""",46.049194,"73° 05' 43,5""",-73.095417,31I03,161,183 pi/sol,55.78,16.0 pi/mer,4.88,n.d.,n.d.,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,n.d.,n.d.,Bald Mountain Oil Co.,n.d.,Big Indian Drilling Co.,Rotative,Non,,Sorel-Tracy,Montérégie,Sorel
B027,"Bald Mountain New-Miller No 4, Sorel",1961,B-Basses-Terres (sols non consolidés),287,,Seigneurie de Sorel,,Comté de Richelieu,"46° 02' 43,1""",46.045306,"73° 06' 00,5""",-73.100139,31I03,161,209 pi/sol,63.7,38.0 pi/mer,11.58,n.d.,n.d.,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,n.d.,n.d.,Bald Mountain Oil Co.,n.d.,Big Indian Drilling Co.,Rotative,Non,,Sorel-Tracy,Montérégie,Sorel
B028,Bald Mountain Saint-Casimir No 1,1957,B-Basses-Terres (sols non consolidés),356,Saint-Jérome,,Saint-Casimir,,"46° 39' 28,1""",46.657806,"72° 11' 16,4""",-72.187889,31I09,n.d.,41 pi/sol,12.5,n.d.,n.d.,n.d.,n.d.,Abandon,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,n.d.,n.d.,Bald Mountain Oil Co.,n.d.,Antonio Dubé,Câble,Non,,Saint-Casimir,Capitale-Nationale,Saint-Casimir
B029,"Bald Mountain New-Miller No 1, Saint-Ignace",1961,B-Basses-Terres (sols non consolidés),63,Île Saint-Ignace,,Saint-Ignace-de-Loyola,,"46° 03' 58,1""",46.066139,"73° 06' 52,5""",-73.114583,31I03,161,272 pi/sol,82.91,n.d.,n.d.,n.d.,n.d.,Abandon,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,n.d.,n.d.,Bald Mountain Oil Co.,n.d.,Big Indian Drilling Co.,Rotative,Non,,Saint-Ignace-de-Loyola,Lanaudière,Sorel
B030,Cabane Ronde,1883,B-Basses-Terres (sols non consolidés),3,Cabane Ronde,,Saint-Henri-de-Mascouche,,"45° 47' 25,1""",45.790306,"73° 32' 18,5""",-73.538472,31H13,n.d.,127 pi/sol,38.71,n.d.,n.d.,n.d.,n.d.,Forage,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,n.d.,n.d.,Renaud Brothers and Dubois,n.d.,,Câble,Non,,Mascouche,Lanaudière,Mascouche
B031,"Canso Saint-Maurice, Louiseville No 1",1957,B-Basses-Terres (sols non consolidés),180,,,Saint-Antoine-de-la-Rivière-du-Loup,Comté de Maskinongé,"46° 15' 07,1""",46.251972,"72° 58' 13,4""",-72.970389,31I07,31034,300 pi/sol,91.44,n.d.,n.d.,n.d.,n.d.,Suspension,n.d.,Suspendu\sec,Suspendu,sec,Puits d'exploration «Wildcat»,n.d.,n.d.,Canso Natural Gas Ltd.,n.d.,Carroll Drilling Co. Ltd.,Rotative,Non,,Louiseville,Mauricie,Louiseville
B032,"Caprive No 1, Trois-Rivières",1959,B-Basses-Terres (sols non consolidés),178,,,Trois-Rivières,,"46° 21' 30,1""",46.358361,"72° 34' 47,4""",-72.579833,31I07,n.d.,300 pi/sol,91.44,n.d.,n.d.,n.d.,n.d.,Abandon,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,n.d.,n.d.,Caprive Oil and Gas Co.,n.d.,Albert Bédard,Câble,Non,,Trois-Rivières,Mauricie,Trois-Rivières
B033,"Laduboro Verchères Saint-Pierre No 1, Pointe-du-lac",1961,B-Basses-Terres (sols non consolidés),127,Grand Chemin,,Pointe-du-Lac,Comté de Saint-Maurice,"46° 17' 31,9""",46.292194,"72° 42' 20,1""",-72.705583,31I07,166,219 pi/sol,66.75,34.0 pi/mer,10.36,37.0 pi/mer,11.28,Abandon,n.d.,Abandonné\sous-observation,Abandonné,sous-observation,Puits d'exploration «Wildcat»,Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,n.d.,Corp. des gaz et pét.(1961); Intragaz(1992),n.d.,James Drilling Ltd(1961); Foragaz(1992),Rotative,Non,,Trois-Rivières,Mauricie,Pointe-du-Lac
B034,"Laduboro Verchères Saint-Pierre No 2, Pointe-du-Lac",1961,B-Basses-Terres (sols non consolidés),128,Grand Chemin,,Pointe-du-Lac,Comté de Saint-Maurice,"46° 17' 39,9""",46.294417,"72° 42' 27,0""",-72.7075,31I07,166,220 pi/sol,67.06,42.0 pi/mer,12.8,n.d.,n.d.,Complétion,n.d.,Suspendu,Suspendu,,Puits d'observation,n.d.,n.d.,Corp. des gaz et pét.(1961); SOQUIP(1985),n.d.,James Drilling Ltd,Rotative,Non,,Trois-Rivières,Mauricie,Pointe-du-Lac
B035,"Laduboro Verchères Saint-Pierre No 3, Pointe-du-Lac",1961,B-Basses-Terres (sols non consolidés),111,Grand Chemin,,Pointe-du-Lac,Comté de Saint-Maurice,"46° 17' 27,0""",46.290833,"72° 41' 57,3""",-72.69925,31I07,166,271 pi/sol,82.6,36.0 pi/mer,10.97,n.d.,n.d.,Modification,n.d.,Abandonné\sous-observation,Abandonné,sous-observation,Puits d'exploration «Wildcat»,Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,n.d.,Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,n.d.,James Drilling Ltd,Rotative,Non,,Trois-Rivières,Mauricie,Pointe-du-Lac
B036,"Laduboro Verchères Saint-Pierre No 4, Pointe-du-Lac",1961,B-Basses-Terres (sols non consolidés),123,Grand Chemin,,Pointe-du-Lac,Comté de Saint-Maurice,"46° 17' 25,6""",46.290444,"72° 42' 04,9""",-72.701361,31I07,166,232 pi/sol,70.71,31.0 pi/mer,9.45,36.0 pi/mer,10.97,Complétion,n.d.,Complété\observation,Complété,observation,Puits d'observation,Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,n.d.,Corp. des gaz et pét.(1961); SOQUIP(1990),n.d.,James Drilling Ltd(1961); Foragaz(1990),Rotative,Oui,,Trois-Rivières,Mauricie,Pointe-du-Lac
B037,"Laduboro Verchères Saint-Pierre No 5, Pointe-du-Lac",1961,B-Basses-Terres (sols non consolidés),123,Grand Chemin,,Pointe-du-Lac,Comté de Saint-Maurice,"46° 17' 25,4""",46.290389,"72° 42' 04,9""",-72.701361,31I07,166,79 pi/sol,24.08,10.0 pi/mer,3.05,12.0 pi/mer,3.66,Complétion,n.d.,Complété\observation,Complété,observation,Puits d'observation,n.d.,n.d.,Corp. des gaz et pét.(1961); Intragaz(1992),n.d.,James Drilling Ltd(1961); Foragaz(1992),Rotative,Non,,Trois-Rivières,Mauricie,Pointe-du-Lac
B038,"Laduboro Verchères Saint-Pierre No 6, Pointe-du-Lac",1961,B-Basses-Terres (sols non consolidés),123,Grand Chemin,,Pointe-du-Lac,Comté de Saint-Maurice,"46° 17' 42,2""",46.295056,"72° 42' 04,6""",-72.701278,31I07,166,245 pi/sol,74.68,53.0 pi/mer,16.15,n.d.,n.d.,Modification,n.d.,Abandonné\sous-observation,Abandonné,sous-observation,Puits d'observation,n.d.,n.d.,Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,n.d.,James Drilling Ltd,Rotative,Non,,Trois-Rivières,Mauricie,Pointe-du-Lac
B039,"Laduboro Verchères Saint-Pierre No 7, Pointe-du-Lac",1961,B-Basses-Terres (sols non consolidés),124,Grand Chemin,,Pointe-du-Lac,Comté de Saint-Maurice,"46° 18' 04,2""",46.301167,"72° 42' 12,2""",-72.703389,31I07,166,262 pi/sol,79.86,62.0 pi/mer,18.9,70.0 pi/mer,21.34,Abandon,n.d.,Complété\observation,Complété,observation,Puits d'exploration «Wildcat»,Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,n.d.,Corp. des gaz et pét.(1961); Intragaz(1992),n.d.,James Drilling Ltd(1961); Foragaz(1992),Rotative,Non,,Trois-Rivières,Mauricie,Pointe-du-Lac
B040,"Laduboro Verchères Saint-Pierre No 8, Pointe-du-Lac",1961,B-Basses-Terres (sols non consolidés),279,Acadie,,Pointe-du-Lac,,"46° 18' 14,1""",46.303917,"72° 43' 36,8""",-72.726889,31I07,166,310 pi/sol,94.49,48.0 pi/mer,14.63,n.d.,n.d.,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,n.d.,n.d.,Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,n.d.,James Drilling Ltd,Rotative,Non,,Trois-Rivières,Mauricie,Pointe-du-Lac
B041,"Laduboro Verchères Saint-Pierre No 8a, Pointe-du-Lac",1961,B-Basses-Terres (sols non consolidés),279,Acadie,,Pointe-du-Lac,,"46° 18' 13,6""",46.303778,"72° 43' 36,4""",-72.726778,31I07,166,185 pi/sol,56.39,48.0 pi/mer,14.63,n.d.,n.d.,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,n.d.,n.d.,Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,n.d.,James Drilling Ltd,Rotative,Non,,Trois-Rivières,Mauricie,Pointe-du-Lac
B042,"Laduboro Verchères Saint-Pierre No 9, Pointe-du-Lac",1961,B-Basses-Terres (sols non consolidés),354,Saint-Charles,,Pointe-du-Lac,,"46° 18' 13,6""",46.303778,"72° 41' 27,3""",-72.690917,31I07,166,312 pi/sol,95.1,91.0 pi/mer,27.74,n.d.,n.d.,Abandon,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,n.d.,n.d.,Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,n.d.,James Drilling Ltd,Rotative,Non,,Trois-Rivières,Mauricie,Pointe-du-Lac
B043,"Laduboro Verchères Saint-Pierre No 9a, Pointe-du-Lac",1961,B-Basses-Terres (sols non consolidés),354,Saint-Charles,,Pointe-du-Lac,,"46° 18' 14,4""",46.304,"72° 41' 28,7""",-72.691306,31I07,166,90 pi/sol,27.43,91.0 pi/mer,27.74,n.d.,n.d.,Abandon,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,n.d.,n.d.,Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,n.d.,James Drilling Ltd,Rotative,Non,,Trois-Rivières,Mauricie,Pointe-du-Lac
B044,"Laduboro Verchères Saint-Pierre No 10, Pointe-du-Lac",1961,B-Basses-Terres (sols non consolidés),177,Grand Chemin,,Pointe-du-Lac,,"46° 17' 43,0""",46.295278,"72° 43' 20,7""",-72.722417,31I07,166,326 pi/sol,99.36,22.0 pi/mer,6.71,n.d.,n.d.,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,n.d.,n.d.,Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,n.d.,James Drilling Ltd,Rotative,Non,,Trois-Rivières,Mauricie,Pointe-du-Lac
B045,"Laduboro Verchères Saint-Pierre No 11, Pointe-du-Lac",1961,B-Basses-Terres (sols non consolidés),147,Grand Chemin,,Pointe-du-Lac,Comté de Saint-Maurice,"46° 17' 48,5""",46.296806,"72° 44' 09,1""",-72.735861,31I07,166,310 pi/sol,94.49,26.0 pi/mer,7.92,n.d.,n.d.,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,n.d.,n.d.,Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,n.d.,James Drilling Ltd,Rotative,Non,,Trois-Rivières,Mauricie,Pointe-du-Lac
B046,"Laduboro Verchères Saint-Pierre No 11a, Pointe-du-Lac",1961,B-Basses-Terres (sols non consolidés),147,Grand Chemin,,Pointe-du-Lac,Comté de Saint-Maurice,"46° 17' 48,1""",46.296694,"72° 44' 08,6""",-72.735722,31I07,166,161 pi/sol,49.07,26.0 pi/mer,7.92,n.d.,n.d.,Abandon,n.d.,Abandonné\gaz,Abandonné,gaz,Puits d'exploration «Wildcat»,n.d.,n.d.,Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,n.d.,James Drilling Ltd,Rotative,Non,,Trois-Rivières,Mauricie,Pointe-du-Lac
B047,"Laduboro Verchères Saint-Pierre No 11b, Pointe-du-Lac",1961,B-Basses-Terres (sols non consolidés),147,Grand Chemin,,Pointe-du-Lac,Comté de Saint-Maurice,"46° 17' 47,8""",46.296611,"72° 44' 10,1""",-72.736139,31I07,166,259 pi/---,78.94,26.0 pi/mer,7.92,n.d.,n.d.,Abandon,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,n.d.,n.d.,Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,n.d.,James Drilling Ltd,Rotative,Non,,Trois-Rivières,Mauricie,Pointe-du-Lac
B048,"Laduboro Verchères Saint-Pierre No 12, Pointe-du-Lac",1961,B-Basses-Terres (sols non consolidés),111,Grand Chemin,,Pointe-du-Lac,Comté de Saint-Maurice,"46° 17' 17,3""",46.288139,"72° 41' 39,3""",-72.69425,31I07,166,258 pi/sol,78.64,32.0 pi/mer,9.75,n.d.,n.d.,Abandon,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,n.d.,n.d.,Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,n.d.,James Drilling Ltd,Rotative,Non,,Trois-Rivières,Mauricie,Pointe-du-Lac
B049,"Laduboro Verchères Saint-Pierre No 13, Pointe-du-Lac",1961,B-Basses-Terres (sols non consolidés),388,Grand Chemin,,Pointe-du-Lac,Comté de Saint-Maurice,"46° 18' 19,7""",46.305472,"72° 44' 38,1""",-72.743917,31I07,166,325 pi/sol,99.06,55.0 pi/mer,16.76,n.d.,n.d.,Abandon,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,n.d.,n.d.,Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,n.d.,James Drilling Ltd,Rotative,Non,,Trois-Rivières,Mauricie,Pointe-du-Lac
B050,"Laduboro Verchères Saint-Pierre No 14, Pointe-du-Lac",1961,B-Basses-Terres (sols non consolidés),128,Grand Chemin,,Pointe-du-Lac,Comté de Saint-Maurice,"46° 17' 53,1""",46.298083,"72° 42' 29,2""",-72.708111,31I07,166,255 pi/sol,77.72,52.0 pi/mer,15.85,61.0 pi/mer,18.59,Abandon,n.d.,Abandonné\sous-observation,Abandonné,sous-observation,Puits d'exploration «Wildcat»,Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,n.d.,Corp. des gaz et pét.(1961); Intragaz(1992),n.d.,James Drilling Ltd(1961); Foragaz(1992),Rotative,Non,,Trois-Rivières,Mauricie,Pointe-du-Lac
B051,"Laduboro Verchères Saint-Pierre No 15, Pointe-du-Lac",1961,B-Basses-Terres (sols non consolidés),128,Grand Chemin,,Pointe-du-Lac,Comté de Saint-Maurice,"46° 18' 05,1""",46.301417,"72° 42' 29,2""",-72.708111,31I07,166,275 pi/sol,83.82,61.0 pi/mer,18.59,69.0 pi/mer,21.03,Abandon,n.d.,Abandonné\sous-observation,Abandonné,sous-observation,Puits d'exploration «Wildcat»,Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,n.d.,Corp. des gaz et pét.(1961); Intragaz(1992),n.d.,James Drilling Ltd(1961); Foragaz(1992),Rotative,Non,,Trois-Rivières,Mauricie,Pointe-du-Lac
B052,"Laduboro Verchères Saint-Pierre No 16, Pointe-du-Lac",1961,B-Basses-Terres (sols non consolidés),362,Acadie,,Pointe-du-Lac,,"46° 18' 18,4""",46.305111,"72° 42' 16,0""",-72.704444,31I07,166,278 pi/sol,84.73,76.0 pi/mer,23.16,84.0 pi/mer,25.6,Abandon,n.d.,Abandonné\sous-observation,Abandonné,sous-observation,Puits d'exploration «Wildcat»,Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,n.d.,Corp. des gaz et pét.(1961); Intragaz(1992),n.d.,James Drilling Ltd(1961); Foragaz(1992),Rotative,Non,,Trois-Rivières,Mauricie,Pointe-du-Lac
B053,"Laduboro Verchères Saint-Pierre No 17, Pointe-du-Lac",1961,B-Basses-Terres (sols non consolidés),349,Saint-Charles,,Pointe-du-Lac,,"46° 18' 55,0""",46.315278,"72° 42' 27,9""",-72.70775,31I07,166,350 pi/sol,106.68,129.0 pi/mer,39.32,n.d.,n.d.,Abandon,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,n.d.,n.d.,Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,n.d.,James Drilling Ltd,Rotative,Non,,Trois-Rivières,Mauricie,Pointe-du-Lac
B054,"Laduboro Verchères Saint-Pierre No 18, Pointe-du-Lac",1961,B-Basses-Terres (sols non consolidés),345,Saint-Charles,,Pointe-du-Lac,,"46° 18' 54,1""",46.315028,"72° 41' 51,5""",-72.697639,31I07,166,107 m/KB,107.0,41.0 m/mer,41.0,44.0 m/mer,44.0,Abandon,n.d.,Suspendu,Suspendu,,Puits d'exploration «Wildcat»,n.d.,n.d.,Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,n.d.,James Drilling Ltd,Rotative,Non,,Trois-Rivières,Mauricie,Pointe-du-Lac
B054-R1,"Laduboro Verchères Saint-Pierre No 18, Pointe-du-Lac",1996,B-Basses-Terres (sols non consolidés),345,Saint-Charles,,Pointe-du-Lac, ,"46° 18' 54,1""",46.315028,"72° 41' 51,5""",-72.697639,31I07-0102,1990BR301,116 m/KB,116.0,41.0 m/KB,41.0,44.0 m/KB,44.0,Abandon,n.d.,Suspendu,Suspendu,,Puits d'observation,"Intragaz, SEC",n.d.,"Intragaz, SEC",n.d.,Ralex Inc.,Rotative,Oui,,Trois-Rivières,Mauricie,Pointe-du-Lac
B055,"Laduboro Verchères Saint-Pierre No 19, Pointe-du-Lac",1961,B-Basses-Terres (sols non consolidés),366,Acadie,,Pointe-du-Lac,,"46° 18' 49,2""",46.313667,"72° 42' 58,9""",-72.716361,31I07,166,375 pi/sol,114.3,144.0 pi/mer,43.89,n.d.,n.d.,Abandon,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,n.d.,n.d.,Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,n.d.,James Drilling Ltd,Rotative,Non,,Trois-Rivières,Mauricie,Pointe-du-Lac
B056,"Laduboro Verchères Saint-Pierre No 20, Pointe-du-Lac",1961,B-Basses-Terres (sols non consolidés),349,Saint-Charles,,Pointe-du-Lac,,"46° 18' 30,6""",46.3085,"72° 41' 37,4""",-72.693722,31I07,166,340 pi/sol,103.63,144.0 pi/mer,43.89,n.d.,n.d.,Abandon,n.d.,Abandonné\sous-observation,Abandonné,sous-observation,Puits d'exploration «Wildcat»,n.d.,n.d.,Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,n.d.,James Drilling Ltd,Rotative,Non,,Trois-Rivières,Mauricie,Pointe-du-Lac
B057,"Laduboro Verchères Saint-Pierre No 21, Pointe-du-Lac",1961,B-Basses-Terres (sols non consolidés),277,IV,,Pointe-du-Lac,,"46° 18' 53,4""",46.314833,"72° 41' 18,9""",-72.688583,31I07,166,351 pi/sol,106.98,45.0 m/mer,45.0,48.0 m/mer,48.0,Réentrée,n.d.,Complété\observation,Complété,observation,Puits d'exploration «Wildcat»,n.d.,n.d.,Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,n.d.,James Drilling Ltd,Rotative,Non,,Trois-Rivières,Mauricie,Pointe-du-Lac
B057-R1,"Laduboro Verchères Saint-Pierre No 21, Pointe-du-Lac",1990,B-Basses-Terres (sols non consolidés),277,IV,,Pointe-du-Lac, ,"46° 18' 53,4""",46.314833,"72° 41' 18,9""",-72.688583,31I07-0102,1990BR301,114 m/KB,114.0,45.0 m/KB,45.0,48.0 m/KB,48.0,Réentrée,n.d.,Complété\observation,Complété,observation,Puits d'observation,Soquip,n.d.,Soquip,n.d.,Foragaz Inc.,Rotative,Non,,Trois-Rivières,Mauricie,Pointe-du-Lac
B058,"Laduboro Verchères Saint-Pierre No 1, Yamachiche",1961,B-Basses-Terres (sols non consolidés),702,,,Sainte-Anne-de-Yamachiche,,"46° 17' 57,1""",46.299194,"72° 49' 41,4""",-72.828167,31I07,166,276 pi/sol,84.12,n.d.,n.d.,n.d.,n.d.,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,n.d.,n.d.,Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,n.d.,James Drilling Ltd,Rotative,Non,,Yamachiche,Mauricie,Yamachiche
B059,"Laduboro Verchères Saint-Pierre No 2, Yamachiche",1961,B-Basses-Terres (sols non consolidés),560,,,Sainte-Anne-de-Yamachiche,,"46° 16' 25,1""",46.273639,"72° 49' 40,4""",-72.827889,31I07,166,324 pi/sol,98.76,21.0 pi/mer,6.4,n.d.,n.d.,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,n.d.,n.d.,Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,n.d.,James Drilling Ltd,Rotative,Non,,Yamachiche,Mauricie,Yamachiche
B060,"Laduboro Verchères Saint-Pierre No 4, Yamachiche",1961,B-Basses-Terres (sols non consolidés),598,,,Sainte-Anne-de-Yamachiche,,"46° 18' 54,1""",46.315028,"72° 49' 02,4""",-72.817333,31I07,n.d.,264 pi/sol,80.47,52.0 pi/mer,15.85,n.d.,n.d.,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,n.d.,n.d.,Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,n.d.,James Drilling Ltd,Rotative,Non,,Yamachiche,Mauricie,Yamachiche
B061,"Laduboro Verchères Saint-Pierre No 5, Yamachiche",1961,B-Basses-Terres (sols non consolidés),474,,,Sainte-Anne-de-Yamachiche,,"46° 19' 34,1""",46.326139,"72° 48' 08,4""",-72.802333,31I07,166,330 pi/sol,100.58,101.0 pi/mer,30.78,n.d.,n.d.,Abandon,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,n.d.,n.d.,Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,n.d.,James Drilling Ltd,Rotative,Non,,Yamachiche,Mauricie,Yamachiche
B062,"Eastern Canada Gas & Oil No 8, Saint-Athanase",1958,B-Basses-Terres (sols non consolidés),86,,,Saint-Athanase,,"45° 16' 12,1""",45.270028,"73° 14' 25,5""",-73.240417,31H06,24193,192 pi/sol,58.52,n.d.,n.d.,n.d.,n.d.,Abandon,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,n.d.,n.d.,Canadian Eastern Oil & Gas Drilling Ltd.,n.d.,Logan Brothers Diamond Drilling Ltd.,(n.d.),Non,,Saint-Jean-sur-Richelieu,Montérégie,Iberville
B063,Gélinas No 1,1954,B-Basses-Terres (sols non consolidés),13,Grande Rivière,,Sainte-Angèle-de-Laval,,"46° 21' 27,1""",46.357528,"72° 28' 11,2""",-72.469778,31I08,23466,315 pi/sol,96.01,n.d.,n.d.,n.d.,n.d.,Forage,n.d.,Complété\gaz,Complété,gaz,Puits d'exploration «Wildcat»,n.d.,n.d.,Germain Gélinas,n.d.,Germain Gélinas,Carottage minier,Non,,Bécancour,Centre-du-Québec,Bécancour
B064,"Sweet Grass, Yamachiche No 1",1955,B-Basses-Terres (sols non consolidés),702,,,Sainte-Anne-de-Yamachiche,,"46° 17' 58,5""",46.299583,"72° 49' 47,1""",-72.82975,31I07,27935,464 pi/sol,141.43,n.d.,n.d.,n.d.,n.d.,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,n.d.,n.d.,Great Sweet Grass Oils Ltd.,n.d.,Robert McMaster & Sons,Câble,Non,,Yamachiche,Mauricie,Yamachiche
B065,"Canso Intercity, Pointe-du-Lac No 1",1956,B-Basses-Terres (sols non consolidés),265,Petites Terres,,Pointe-du-Lac,,"46° 17' 18,7""",46.288528,"72° 40' 59,6""",-72.683222,31I07,29739,180 pi/sol,54.86,52.0 pi/mer,15.85,57.0 pi/mer,17.37,Abandon,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,n.d.,n.d.,Canso Natural Gas Ltd.,n.d.,Ranch Drilling Ltd,Rotative,Non,,Trois-Rivières,Mauricie,Pointe-du-Lac
B066,"Canso Intercity, Pointe-du-Lac No 2",1956,B-Basses-Terres (sols non consolidés),17,Grand Chemin,,Pointe-du-Lac,Comté de Saint-Maurice,"46° 17' 34,1""",46.292806,"72° 37' 57,4""",-72.632611,31I07,29739,405 pi/sol,123.44,30.0 pi/mer,9.14,35.0 pi/mer,10.67,Abandon,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,n.d.,n.d.,Canso Natural Gas Ltd.,n.d.,Ranch Drilling Ltd,Rotative,Non,,Trois-Rivières,Mauricie,Pointe-du-Lac
B067,"Canso Intercity, Sainte-Anne No 1",1956,B-Basses-Terres (sols non consolidés),275,,,Sainte-Anne-de-Yamachiche,,"46° 16' 16,1""",46.271139,"72° 48' 03,4""",-72.800944,31I07,29739,405 pi/sol,123.44,34.0 pi/mer,10.36,39.0 pi/mer,11.89,Abandon,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,n.d.,n.d.,Canso Natural Gas Ltd.,n.d.,Ranch Drilling Ltd,Rotative,Non,,Yamachiche,Mauricie,Yamachiche
B068,"Canso Intercity, Sainte-Anne No 2",1956,B-Basses-Terres (sols non consolidés),1,,,Sainte-Anne-de-Yamachiche,Comté de Saint-Maurice,"46° 17' 36,1""",46.293361,"72° 44' 58,3""",-72.749528,31I07,29739,330 pi/sol,100.58,20.0 pi/mer,6.1,25.0 pi/mer,7.62,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,n.d.,n.d.,Canso Natural Gas Ltd.,n.d.,Ranch Drilling Ltd,Rotative,Non,,Yamachiche,Mauricie,Pointe-du-Lac
B069,"Canso Intercity, Sainte-Anne No 3",1957,B-Basses-Terres (sols non consolidés),13,,,Sainte-Anne-de-Yamachiche,,"46° 17' 58,1""",46.299472,"72° 46' 04,4""",-72.767889,31I07,29739,346 pi/sol,105.46,35.0 pi/mer,10.67,40.0 pi/mer,12.19,Abandon,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,n.d.,n.d.,Canso Natural Gas Ltd.,n.d.,Carroll Drilling Co. Ltd.,Rotative,Non,,Yamachiche,Mauricie,Yamachiche
B070,"Canso Intercity, Trois-Rivières No 1",1956,B-Basses-Terres (sols non consolidés),34,Banlieue,,Trois-Rivières,,"46° 18' 30,1""",46.308361,"72° 34' 31,4""",-72.575389,31I07,29739,405 pi/sol,123.44,22.0 pi/mer,6.71,27.0 pi/mer,8.23,Forage,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,n.d.,n.d.,Canso Natural Gas Ltd.,n.d.,Ranch Drilling Ltd,Rotative,Non,,Trois-Rivières,Mauricie,Trois-Rivières
