Numéro du puits,Nom du puits,Année forage,Région géologique,Lot,Rang,Canton,Paroisse,Localisation,Latitude (NAD83),Latitude (décimal),Longitude (NAD83),Longitude (décimal),No carte,No permis,Profondeur,Profondeur (en m),Elévation sol,Élévation (en m),Élévation table rotation,Élévation de la table de rotation (en m),Dernière activité de puits,Dernière phase de puits,Statut puits,État du puits,Contenu du puits,Type puits,Détenteur,Partenaires,Opérateur,Implanté sur,Entreprise forage,Type foreuse,Log composite,Confidentiel jusqu'au,Municipalité,Région administrative,Localité
A020,Canadian Natural Gas No 1,1910,A-Basses-Terres (sols consolidés),164,Saint-Amable Nord,,Saint-Barnabé,,"45° 43' 13,1""",45.720306,"72° 57' 20,4""",-72.955667,31H10,n.d.,1880 pi/KB,573.02,115.0 pi/mer,35.05,117.0 pi/mer,35.66,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,n.d.,n.d.,Canadian Natural Gas Co.,n.d.,W.H. Lauffen,Câble,Non,,Saint-Barnabé-Sud,Montérégie,Saint-Jude
A021,Canadian Natural Gas No 2,1914,A-Basses-Terres (sols consolidés),164,Saint-Amable Nord,,Saint-Barnabé,,"45° 43' 08,1""",45.718917,"72° 57' 10,4""",-72.952889,31H10,n.d.,2907 pi/KB,886.05,116.0 pi/mer,35.36,118.0 pi/mer,35.97,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,n.d.,n.d.,Canadian Natural Gas Co.,n.d.,Edmond Côté,Câble,Non,,Saint-Barnabé-Sud,Montérégie,Saint-Jude
A022,Canadian Natural Gas No 3,1914,A-Basses-Terres (sols consolidés),227,Saint-Amable Sud,,Saint-Barnabé,,"45° 42' 08,1""",45.70225,"72° 56' 06,4""",-72.935111,31H10,n.d.,3455 pi/KB,1053.08,112.0 pi/mer,34.14,114.0 pi/mer,34.75,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,n.d.,n.d.,Canadian Natural Gas Co.,n.d.,Edmond Côté,Câble,Non,,Saint-Barnabé-Sud,Montérégie,Saint-Hyacinthe
A023,Canadian Natural Gas No 4,1917,A-Basses-Terres (sols consolidés),982,,,Saint-Jude,,"45° 43' 43,1""",45.728639,"72° 59' 57,1""",-72.999194,31H10,n.d.,2380 pi/KB,725.42,106.0 pi/mer,32.31,108.0 pi/mer,32.92,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,n.d.,n.d.,Canadian Natural Gas Co.,n.d.,Edmond Côté,Câble,Non,,Saint-Jude,Montérégie,Saint-Jude
A024,Canadian Natural Gas No 5,1914,A-Basses-Terres (sols consolidés),160,Saint-Amable Nord,,Saint-Barnabé,,"45° 42' 59,1""",45.716417,"72° 57' 28,4""",-72.957889,31H10,n.d.,2508 pi/KB,764.44,116.0 pi/mer,35.36,118.0 pi/mer,35.97,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,n.d.,n.d.,Canadian Natural Gas Co.,n.d.,Edmond Côté,Câble,Non,,Saint-Barnabé-Sud,Montérégie,Saint-Jude
A025,"Canadian Seaboard, Saint-Grégoire No 1",1934,A-Basses-Terres (sols consolidés),300,Bas du Village,,Saint-Grégoire,,"46° 16' 13,1""",46.270306,"72° 30' 02,4""",-72.500667,31I07,n.d.,6030 pi/KB,1837.94,81.0 pi/mer,24.69,83.0 pi/mer,25.3,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,n.d.,n.d.,Canadian Seabord Oil & Gas Ltd.,Ligne sismique,Canadian Seabord Oil & Gas Ltd.,Câble,Non,,Bécancour,Centre-du-Québec,Trois-Rivières
A026,"Canadian Seaboard, Saint-Gérard No 1",1931,A-Basses-Terres (sols consolidés),573,,,Saint-Gérard,,"45° 59' 42,1""",45.995028,"72° 49' 21,4""",-72.822611,31H15,n.d.,6160 pi/KB,1877.57,103.0 pi/mer,31.39,105.0 pi/mer,32.0,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,n.d.,n.d.,Canadian Seabord Oil & Gas Ltd.,Ligne sismique,Drilling & Exploration Co.,Câble & rotative,Non,,Saint-Gérard-Majella,Montérégie,Yamaska
A027,"Canadian Seaboard, Sainte-Angèle No 1",1933,A-Basses-Terres (sols consolidés),160,Petit Bois Rouge,,Sainte-Angèle-de-Laval,,"46° 19' 07,1""",46.318639,"72° 29' 08,4""",-72.485667,31I08,n.d.,5260 pi/KB,1603.25,59.0 pi/mer,17.98,61.0 pi/mer,18.59,Abandon,n.d.,Abandonné\indices de gaz et pétrole,Abandonné,indices de gaz et pétrole,Puits d'exploration «Wildcat»,n.d.,n.d.,Canadian Seabord Oil & Gas Ltd.,Ligne sismique,Alberta Gas and Fuel Co.,Câble,Non,,Bécancour,Centre-du-Québec,Bécancour
A028,"Canso Saint-Maurice, Saint-Léon No 1",1957,A-Basses-Terres (sols consolidés),322,,,Saint-Léon,,"46° 18' 06,1""",46.301694,"72° 56' 43,4""",-72.945389,31I07,31034,1007 pi/KB,306.93,123.0 pi/mer,37.49,131.0 pi/mer,39.93,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,Canso Natural Gas Ltd.,n.d.,Canso Natural Gas Ltd.,n.d.,Carroll Drilling Co. Ltd.,Rotative,Non,,Saint-Léon-le-Grand,Mauricie,Louiseville
A029,"Caprive No 2, Trois-Rivières",1959,A-Basses-Terres (sols consolidés),178,,,Trois-Rivières,,"46° 21' 30,1""",46.358361,"72° 34' 47,4""",-72.579833,31I07,135,1440 pi/KB,438.91,157.0 pi/mer,47.85,160.0 pi/mer,48.77,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,Caprive Oil and Gas Co.,n.d.,Caprive Oil and Gas Co.,n.d.,Ranch Drilling Ltd,Câble,Non,,Trois-Rivières,Mauricie,Trois-Rivières
A030,"Caprive No 3, Trois-Rivières",1962,A-Basses-Terres (sols consolidés),P-178,,,Trois-Rivières,,"46° 21' 28,1""",46.357806,"72° 34' 38,4""",-72.577333,31I07,135,1452 pi/KB,442.57,158.0 pi/mer,48.16,161.0 pi/mer,49.07,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,Caprive Oil and Gas Co.,n.d.,Caprive Oil and Gas Co.,n.d.,Inspiration Mining and Development Co. Ltd.,Carottage minier,Non,,Trois-Rivières,Mauricie,Trois-Rivières
A031,Cartier Natural Gas No 5,1934,A-Basses-Terres (sols consolidés),322,,,Saint-Joseph-de-Lanoraie,,"45° 56' 32,3""",45.942306,"73° 14' 56,5""",-73.249028,31H14,n.d.,2500 pi/KB,762.0,80.0 pi/mer,24.38,82.0 pi/mer,24.99,Abandon,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,n.d.,n.d.,Cartier Natural Gas Co.,n.d.,,Câble,Non,,Lanoraie,Lanaudière,Lanoraie
A032,"Cartier Natural Gas, Saint-Hubert No 1",1934,A-Basses-Terres (sols consolidés),26,,,Saint-Hubert,Terrain militaire,"45° 30' 47,1""",45.513083,"73° 25' 54,5""",-73.431806,31H11,n.d.,3490 pi/KB,1063.75,94.0 pi/mer,28.65,96.0 pi/mer,29.26,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,n.d.,n.d.,Cartier Natural Gas Co.,n.d.,Star Drilling Machine Co.,Câble,Non,,Longueuil,Montérégie,Saint-Hubert
A033,Madeleine No 1,1956,A-Basses-Terres (sols consolidés),113,Côte de la Madeleine,,Cap-de-la-Madeleine,Comté de Champlain,"46° 22' 31,1""",46.375306,"72° 30' 03,4""",-72.500944,31I07,25015,2092 pi/KB,637.64,51.0 pi/mer,15.54,52.0 pi/mer,15.85,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,Châteauguay Gas & Oil Co.,n.d.,Châteauguay Gas & Oil Co.,n.d.,St. Lawrence Drilling Co.,Carottage minier,Non,,Trois-Rivières,Mauricie,Cap-de-la-Madeleine
A034,Madeleine No 2,1956,A-Basses-Terres (sols consolidés),113,Côte de la Madeleine,,Cap-de-la-Madeleine,Comté de Champlain,"46° 22' 28,1""",46.374472,"72° 29' 57,4""",-72.499278,31I08,25015,2687 pi/KB,819.0,55.0 pi/mer,16.76,57.0 pi/mer,17.37,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,Châteauguay Gas & Oil Co.,n.d.,Châteauguay Gas & Oil Co.,n.d.,St. Lawrence Drilling Co.,Carottage minier,Non,,Trois-Rivières,Mauricie,Cap-de-la-Madeleine
A035,"Laduboro Verchères Saint-Pierre No 3, Yamachiche",1961,A-Basses-Terres (sols consolidés),702,,,Sainte-Anne-de-Yamachiche,,"46° 17' 01,1""",46.283639,"72° 49' 30,4""",-72.825111,31I07,166,777 pi/sol,236.83,32.0 pi/mer,9.75,n.d.,n.d.,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,n.d.,Corporation des Gaz et Pétroles du Lac St-Pierre Ltée,n.d.,James Drilling Ltd,Rotative,Non,,Yamachiche,Mauricie,Yamachiche
A036,Coupal No 1,1953,A-Basses-Terres (sols consolidés),187,Saint-Constant,,Sainte-Marguerite-de-Blairfindie,,"45° 21' 03,0""",45.350833,"73° 22' 00,3""",-73.36675,31H06,n.d.,1050 pi/KB,320.04,91.0 pi/mer,27.74,93.0 pi/mer,28.35,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,n.d.,n.d.,Louis Coupal,n.d.,Wilfrid Tremblay,Câble,Non,,Saint-Jean-sur-Richelieu,Montérégie,Saint-Luc
A037,Nicolet No 1,1956,A-Basses-Terres (sols consolidés),244,Grand Nord-Est,Seigneurie de Bécancour,Saint-Grégoire-de-Nicolet,,"46° 14' 39,3""",46.24425,"72° 32' 57,4""",-72.549278,31I02,24432,2875 pi/KB,876.3,86.0 pi/mer,26.21,88.0 pi/mer,26.82,Forage,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,Croinor Pershing Mines Ltd.,n.d.,Croinor Pershing Mines Ltd.,n.d.,Inspiration Mining and Development Co. Ltd.,Carottage minier,Non,,Bécancour,Centre-du-Québec,Nicolet
